id,date,exercise,set_number,weight,reps,duration,rest,note,
1,04/07/2025,Barbell Bench Press,1,95,8,,90,,
2,04/07/2025,Barbell Bench Press,2,115,8,,90,,
3,04/07/2025,Barbell Bench Press,3,135,4,,90,,
4,04/07/2025,Barbell Bench Press,4,135,4,,90,,
5,04/07/2025,Barbell Bench Press,5,135,3,,90,,
6,04/07/2025,Barbell Overhead Press,1,65,6,,90,,
7,04/07/2025,Barbell Overhead Press,2,65,8,,90,,
9,04/07/2025,Barbell Overhead Press,3,65,6,,90,,
10,04/07/2025,Dumbbell Lateral Raise,1,12.5,9,,60,,
11,04/07/2025,Dumbbell Lateral Raise,2,10,9,,60,,
12,04/08/2025,Barbell Back Squat,1,75,8,,90,,
13,04/08/2025,Barbell Back Squat,2,75,8,,90,,
14,04/08/2025,Barbell Back Squat,3,75,8,,90,,
15,04/08/2025,Barbell Back Squat,4,75,8,,90,RIR = 1-2,
16,04/08/2025,Dumbbell Reverse Lunge,1,10,10,,60,,
17,04/08/2025,Dumbbell Reverse Lunge,2,10,10,,60,,
18,04/08/2025,Dumbbell Reverse Lunge,3,12.5,10,,60,RIR = 1,
19,04/08/2025,Dumbbell Calf Raise,1,10,10,,30,,
20,04/08/2025,Dumbbell Calf Raise,2,10,10,,30,,
21,04/08/2025,Dumbbell Calf Raise,3,12.5,10,,30,RIR = 1,
22,04/09/2025,Barbell Row,1,65,8,,90,,
23,04/09/2025,Barbell Row,2,65,8,,90,,
24,04/09/2025,Barbell Row,3,75,8,,90,,
25,04/09/2025,Barbell Row,4,75,8,,90,RIR = 1-2,
26,04/09/2025,Dumbbell One Arm Row,1,35,10,,60,,
27,04/09/2025,Dumbbell One Arm Row,2,35,10,,60,,
28,04/09/2025,Dumbbell One Arm Row,3,35,10,,60,RIR = 1,
29,04/09/2025,Dumbbell Hammer Curl,1,15,12,,30,,
30,04/09/2025,Dumbbell Hammer Curl,2,15,10,,30,RIR = 0,
31,04/10/2025,Barbell Deadlift,1,95,6,,90,,
32,04/10/2025,Barbell Deadlift,2,95,6,,90,,
33,04/10/2025,Barbell Deadlift,3,115,6,,90,RIR = 2,
34,04/10/2025,Dumbbell Bulgarian Split Squat,1,10,10,,60,RIR = 0,
35,04/10/2025,Dumbbell Bulgarian Split Squat,2,5,10,,60,RIR = 0,
36,04/10/2025,Glute Bridge,1,0,15,,30,,
37,04/10/2025,Glute Bridge,2,0,15,,30,,
38,04/10/2025,Glute Bridge,3,0,15,,30,,
39,04/11/2025,Plank,1,0,,60,30,,
40,04/11/2025,Plank,2,0,,60,30,,
41,04/11/2025,Dumbbell Side Bend,1,15,12,,30,,
42,04/11/2025,Dumbbell Side Bend,2,15,12,,30,,
43,04/11/2025,Dumbbell Farmer Carry,1,35,,30,30,,
44,04/11/2025,Dumbbell Farmer Carry,2,45,,30,30,,
45,04/11/2025,Dumbbell Farmer Carry,3,45,,30,30,,
46,04/11/2025,Dumbbell Skull Crusher,1,12.5,12,,30,,
47,04/11/2025,Dumbbell Skull Crusher,2,12.5,12,,30,"RIR = 2, flat bench",
48,04/11/2025,Sit Up,1,0,15,,30,,
49,04/11/2025,Sit Up,2,0,15,,30,,
50,04/11/2025,Sit Up,3,0,15,,30,RIR = 1,
51,04/14/2025,Barbell Bench Press,1,95,8,,90,,
52,04/14/2025,Barbell Bench Press,2,115,8,,90,,
53,04/14/2025,Barbell Bench Press,3,115,8,,90,,
54,04/14/2025,Barbell Bench Press,4,115,7,,90,,
55,04/14/2025,Barbell Bench Press,5,115,5,,90,RIR = 0,
56,04/14/2025,Barbell Overhead Press,1,65,8,,90,,
57,04/14/2025,Barbell Overhead Press,2,65,8,,90,,
58,04/14/2025,Barbell Overhead Press,3,65,7,,90,,
59,04/14/2025,Dumbbell Incline Bench Press,1,20,8,,60,,
60,04/14/2025,Dumbbell Incline Bench Press,2,20,8,,60,,